[432/630] Accuracy : 0.0625, loss : 3.6754684448242188
[433/630] Accuracy : 0.109375, loss : 3.478236675262451
[434/630] Accuracy : 0.046875, loss : 3.429321050643921
[435/630] Accuracy : 0.046875, loss : 3.6776506900787354
[436/630] Accuracy : 0.0625, loss : 3.699732542037964
[437/630] Accuracy : 0.03125, loss : 3.7554097175598145
[438/630] Accuracy : 0.046875, loss : 3.52335262298584
[439/630] Accuracy : 0.046875, loss : 3.564645528793335
[440/630] Accuracy : 0.046875, loss : 3.777674436569214
[441/630] Accuracy : 0.03125, loss : 3.7054691314697266
[442/630] Accuracy : 0.015625, loss : 3.6276869773864746
[443/630] Accuracy : 0.0625, loss : 3.375317335128784
[444/630] Accuracy : 0.078125, loss : 3.4892539978027344
[445/630] Accuracy : 0.03125, loss : 3.5128939151763916
[446/630] Accuracy : 0.03125, loss : 3.4802348613739014
[447/630] Accuracy : 0.015625, loss : 3.7356011867523193
[448/630] Accuracy : 0.03125, loss : 3.6237099170684814
[449/630] Accuracy : 0.03125, loss : 3.6622865200042725
[450/630] Accuracy : 0.0, loss : 3.6516926288604736
[451/630] Accuracy : 0.078125, loss : 3.672482490539551
[452/630] Accuracy : 0.046875, loss : 3.718194007873535
[453/630] Accuracy : 0.046875, loss : 3.6742446422576904
[454/630] Accuracy : 0.046875, loss : 3.8672666549682617
[455/630] Accuracy : 0.03125, loss : 3.633700132369995
[456/630] Accuracy : 0.015625, loss : 3.76127290725708
[457/630] Accuracy : 0.03125, loss : 3.6498072147369385
[458/630] Accuracy : 0.0625, loss : 3.853400468826294
[459/630] Accuracy : 0.015625, loss : 3.7487759590148926
[460/630] Accuracy : 0.046875, loss : 3.6132383346557617
[461/630] Accuracy : 0.078125, loss : 3.775210380554199
[462/630] Accuracy : 0.015625, loss : 3.6856532096862793
[463/630] Accuracy : 0.078125, loss : 3.712855339050293
[464/630] Accuracy : 0.046875, loss : 3.5717010498046875
[465/630] Accuracy : 0.015625, loss : 3.719484329223633
[466/630] Accuracy : 0.015625, loss : 3.7390284538269043
[467/630] Accuracy : 0.0625, loss : 3.8182170391082764
[468/630] Accuracy : 0.03125, loss : 3.7640252113342285
[469/630] Accuracy : 0.03125, loss : 3.719094753265381
[470/630] Accuracy : 0.0625, loss : 3.5790462493896484
[471/630] Accuracy : 0.03125, loss : 3.5260958671569824
[472/630] Accuracy : 0.125, loss : 3.422591209411621
[473/630] Accuracy : 0.046875, loss : 3.776132583618164
[474/630] Accuracy : 0.046875, loss : 3.60208797454834
